timestamp,exercise,summary,posture_percent,rep_count
1767434647,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434647,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Slight forward lean detected

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Looks good overall

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
1767434648,pushup," What You Did Well
- Shoulders are straight
- Back is upright
- Hips aligned properly
- Knees stable

 What Needs Improvement
- Looks good overall

Estimated Posture Score
100% correct

 Simple Correction Tips**
- Pull shoulders slightly back
- Stand more upright
- Distribute weight evenly on both legs
- Keep your neck straight

 Exercise Note**
Your rep is counted when your body returns to the starting position. Move slowly and with control.",100,0
